# Формат: дата,квартира,споживання_кВтгод,вартість_грн,показник_лічильника
# Тестові дані 1 - будинок на вул. Сонячній, 5
# Дані за 2024 рік
2025-01,Кв. 1,320.50,1250.45,12450.50
2025-01,Кв. 2,185.75,724.43,8920.75
2025-01,Кв. 3,410.00,1599.00,25630.00
2025-02,Кв. 1,295.30,1151.67,12745.80
2025-02,Кв. 2,172.40,672.36,9093.15
2025-02,Кв. 3,388.60,1515.54,26018.60
2025-03,Кв. 1,260.80,1017.12,13006.60
2025-03,Кв. 2,158.90,619.71,9252.05
2025-03,Кв. 3,345.20,1346.28,26363.80
2025-04,Кв. 1,198.50,774.15,13205.10
2025-04,Кв. 2,120.30,469.17,9372.35
2025-04,Кв. 3,280.40,1093.56,26644.20
2025-05,Кв. 1,145.60,567.84,13350.70
2025-05,Кв. 2,98.75,385.13,9471.10
2025-05,Кв. 3,210.80,822.12,26855.00
2025-06,Кв. 1,132.40,516.36,13483.10
2025-06,Кв. 2,87.60,341.64,9558.70
2025-06,Кв. 3,195.50,762.45,27050.50
