# Формат: дата,квартира,споживання_кВтгод,вартість_грн,показник_лічильника
# Тестові дані 2 - будинок на вул. Лісовій, 12
# Дані за 2023-2024 рік
2024-11,Офіс 1,520.00,2028.00,45200.00
2024-11,Офіс 2,380.25,1482.98,31450.25
2024-11,Склад,760.50,2966.95,98760.50
2024-12,Офіс 1,610.80,2382.12,45810.80
2024-12,Офіс 2,445.60,1737.84,31895.85
2024-12,Склад,890.40,3472.56,99650.90
2025-01,Офіс 1,580.30,2263.17,46391.10
2025-01,Офіс 2,420.75,1640.93,32316.60
2025-01,Склад,840.20,3276.78,100491.10
2025-02,Офіс 1,540.60,2108.34,46931.70
2025-02,Офіс 2,395.40,1542.06,32712.00
2025-02,Склад,800.90,3123.51,101292.00
2025-03,Офіс 1,490.20,1911.78,47421.90
2025-03,Офіс 2,355.80,1387.62,33067.80
2025-03,Склад,720.40,2809.56,102012.40
2025-04,Офіс 1,410.50,1600.95,47832.40
2025-04,Офіс 2,295.60,1152.84,33363.40
2025-04,Склад,630.80,2460.12,102643.20
